Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Current u.s state of residence,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6438dff3406fec11a0a857c6,5cab944b41de360017e2c3db,APPROVED,2023-04-14T05:09:11.759000Z,2023-04-14T06:12:58.758000Z,2023-04-17T15:55:22.424000,2023-04-14T06:13:04.143341Z,3827,C12OLERP,3319,Wisconsin (WI),English,29,Female,Other,United States,United States,United States,English,No,Full-Time
6439265580326e6f4ab44a6d,636da0136f4d2c0c1fd4048a,APPROVED,2023-04-14T10:09:34.753000Z,2023-04-14T11:13:00.460000Z,2023-04-17T15:55:22.632000,2023-04-14T11:13:01.237817Z,3806,C12OLERP,331,Texas (TX),English,53,Female,White,United States,United States,United States,English,No,Full-Time
64392a15e36398d3ea9558d6,6438744a83a13dc8eb1ef506,APPROVED,2023-04-14T10:25:29.733000Z,2023-04-14T10:57:29.205000Z,2023-04-17T15:55:22.846000,2023-04-14T10:57:29.583626Z,1920,C12OLERP,12,North Carolina (NC),English,50,Female,White,United States,United States,United States,English,No,Full-Time
643948ca6091f102a7d976da,61110f26433bbfad36444c62,APPROVED,2023-04-14T12:36:29.593000Z,2023-04-14T12:59:34.589000Z,2023-04-17T15:55:23.061000,2023-04-14T12:59:35.078453Z,1385,C12OLERP,2237,Indiana (IN),English,45,Female,White,United States,United States,United States,English,No,Part-Time
64394fc39c750ba126d19a8c,61071ee0d98a6df6efb59716,APPROVED,2023-04-14T13:06:16.333000Z,2023-04-14T13:39:31.144000Z,2023-04-17T15:55:23.289000,2023-04-14T13:39:31.544973Z,1995,C12OLERP,2967,Iowa (IA),English,45,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64396c43252b80d31b992aaa,640f4e73468a5f639101e483,APPROVED,2023-04-14T15:07:56.565000Z,2023-04-14T15:57:03.060000Z,2023-04-17T15:55:23.501000,2023-04-14T15:57:03.480945Z,2947,C12OLERP,65,Texas (TX),English,56,Male,White,United States,United States,United States,English,No,Full-Time
643975a193c732d79c1d5607,60fdc652654e2045f62b9f89,APPROVED,2023-04-14T15:47:49.460000Z,2023-04-14T16:26:18.418000Z,2023-04-17T15:55:23.713000,2023-04-14T16:26:18.844789Z,2309,C12OLERP,217,Texas (TX),"Spanish, English",26,Female,White,Mexico,United States,United States,Spanish,No,DATA_EXPIRED
6439804974243670200bc85c,63d3de5c9b5d8855b1c74588,APPROVED,2023-04-14T16:34:29.166000Z,2023-04-14T17:46:20.216000Z,2023-04-17T15:55:23.943000,2023-04-14T17:46:20.575490Z,4312,C12OLERP,450,North Carolina (NC),English,25,Female,Black,United States,United States,United States,English,Yes,Full-Time
64399586c5f9e378282f2938,62ce05ec438b3fe762926ba8,APPROVED,2023-04-14T18:03:54.273000Z,2023-04-14T18:54:22.897000Z,2023-04-17T15:55:24.158000,2023-04-14T18:54:23.298246Z,3029,C12OLERP,163,Texas (TX),English,36,Male,White,United States,United States,United States,English,No,Full-Time
64399dacafe414472fadb3c3,61035836646fb6ee2152f950,APPROVED,2023-04-14T18:38:40.014000Z,2023-04-14T19:01:10.899000Z,2023-04-17T15:55:24.354000,2023-04-14T19:01:11.301632Z,1351,C12OLERP,842,Arkansas (AR),English,28,Male,White,United States,United States,United States,English,No,Full-Time
64399e554985fc5a89e81825,63d081289d7dd844b52e2e48,APPROVED,2023-04-14T18:41:28.070000Z,2023-04-14T19:07:04.180000Z,2023-04-17T15:55:24.570000,2023-04-14T19:07:04.624242Z,1537,C12OLERP,479,North Carolina (NC),English,21,Male,White,United States,United States,United States,English,Yes,Part-Time
64399f119e95d20aaed9768a,63615aa254cc85a51c9ab52e,APPROVED,2023-04-14T18:44:37.695000Z,2023-04-14T19:29:47.390000Z,2023-04-17T15:55:24.779000,2023-04-14T19:29:47.814646Z,2710,C12OLERP,282,Texas (TX),English,26,Male,Mixed,United States,United States,United States,English,Yes,Unemployed (and job seeking)
6439a43fc9810e64d2adb419,60fcd304ce93a6610c1eb64e,APPROVED,2023-04-14T19:06:44.605000Z,2023-04-14T19:37:45.478000Z,2023-04-17T15:55:24.992000,2023-04-14T19:37:45.939535Z,1861,C12OLERP,333,North Carolina (NC),English,19,Female,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
6439a6b74a53eaf73a70c82f,5eef99e5ba5947487c3c5f8b,APPROVED,2023-04-14T19:17:19.654000Z,2023-04-14T20:05:36.534000Z,2023-04-17T15:55:25.210000,2023-04-14T20:05:36.914772Z,2897,C12OLERP,1063,Kentucky (KY),"Nepali, English",21,Male,Asian,United States,United States,United States,Nepali,DATA_EXPIRED,DATA_EXPIRED
6439a748aa3550261170c811,64356b82a52bbb174ee669a8,RETURNED,2023-04-14T19:19:36.357000Z,2023-04-14T19:24:11.416000Z,,2023-04-14T19:24:11.858000Z,,NOCODE,49,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6439bda69b9cfa49cc8b0b96,642f943a60d39a0cbb7cfde6,APPROVED,2023-04-14T20:55:07.462000Z,2023-04-14T21:25:10.870000Z,2023-04-17T15:55:25.449000,2023-04-14T21:25:11.252033Z,1804,C12OLERP,26,North Carolina (NC),English,43,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
6439c956038bb1aa47d9766d,5e2fba940cded955c77b0bb5,APPROVED,2023-04-14T21:44:57.176000Z,2023-04-14T22:20:13.789000Z,2023-04-17T15:55:25.680000,2023-04-14T22:20:14.119400Z,2117,C12OLERP,157,Washington (WA),English,23,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6439dc8dc6c8032e889a06b2,6102c2bafd71006cf4fcbd67,APPROVED,2023-04-14T23:06:56.549000Z,2023-04-14T23:50:42.140000Z,2023-04-17T15:55:25.904000,2023-04-14T23:50:43.019653Z,2626,C12OLERP,1417,Texas (TX),English,27,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6439f06d6f0a726ab99929ff,5e1b57f086908337b0d55bbc,APPROVED,2023-04-15T00:31:51.329000Z,2023-04-15T01:12:51.382000Z,2023-04-17T15:55:26.120000,2023-04-15T01:12:51.824270Z,2461,C12OLERP,61,Texas (TX),English,51,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
6439f1a6d4a0993fd5bc265b,63d14ce599ea54cf95c4d8d6,APPROVED,2023-04-15T00:36:59.998000Z,2023-04-15T01:13:57.502000Z,2023-04-17T15:55:26.362000,2023-04-15T01:14:01.070859Z,2218,C12OLERP,408,Wisconsin (WI),English,35,Female,White,United States,United States,United States,English,No,Full-Time
6439f36a3ddf77ae1d713be4,5f41ecb4513b1f3b44e4319c,APPROVED,2023-04-15T00:44:44.415000Z,2023-04-15T01:25:08.879000Z,2023-04-17T15:55:26.564000,2023-04-15T01:25:09.307585Z,2425,C12OLERP,318,Texas (TX),English,23,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6439fec4774805117770c768,5fed41e3e14422f5e308c6e5,APPROVED,2023-04-15T01:32:55.840000Z,2023-04-15T02:14:15.699000Z,2023-04-17T15:55:27.266000,2023-04-15T02:14:16.848562Z,2480,C12OLERP,3836,Kentucky (KY),"English, Spanish",44,Male,White,United States,United States,United States,English,No,Full-Time
643a2860df86ac372c0a2f3d,58b0d5d7aaa44f000143a146,APPROVED,2023-04-15T04:30:28.453000Z,2023-04-15T05:05:43.320000Z,2023-04-17T15:55:27.467000,2023-04-15T05:05:43.752673Z,2115,C12OLERP,182,Texas (TX),English,25,Female,Black,United States,United States,United States,English,Yes,Unemployed (and job seeking)
643a34c6c0d238d791bc25ba,60d8d9348db2bb3a539b5c1d,APPROVED,2023-04-15T05:23:24.459000Z,2023-04-15T06:22:31.568000Z,2023-04-17T15:55:27.691000,2023-04-15T06:22:31.958173Z,3548,C12OLERP,555,Kentucky (KY),English,60,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
643a89d03d2c6b20328b0b95,5627279fddff3c000fbcd625,APPROVED,2023-04-15T11:26:16.404000Z,2023-04-15T12:29:27.716000Z,2023-04-17T15:55:27.898000,2023-04-15T12:29:28.209754Z,3792,C12OLERP,1240,Iowa (IA),English,41,Male,Mixed,United States,United States,United States,English,No,Full-Time
643ac1cf04dfab9caf2f28f3,614e2446523bb49af662fb62,APPROVED,2023-04-15T15:25:06.733000Z,2023-04-15T15:57:55.239000Z,2023-04-17T15:55:28.137000,2023-04-15T15:57:55.663853Z,1969,C12OLERP,1701,Texas (TX),English,30,Male,White,United States,United States,United States,English,No,Full-Time
643ae325c18177c47096d57d,6428d2bd557b0e5ebb6191ae,APPROVED,2023-04-15T17:47:22.038000Z,2023-04-15T18:17:28.686000Z,2023-04-17T15:55:28.364000,2023-04-15T18:17:29.159918Z,1807,C12OLERP,15,Idaho (ID),English,51,Female,White,United States,United States,United States,English,No,Part-Time
643aea2eb516c97b2a96d560,5d8df690489673001bf57baa,APPROVED,2023-04-15T18:17:29.607000Z,2023-04-15T18:51:49.759000Z,2023-04-17T15:55:28.582000,2023-04-15T18:51:50.124476Z,2061,C12OLERP,260,Arkansas (AR),English,25,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
643aeb92ae32b4dfa2f910ac,614e0000692b265cf52c1c45,APPROVED,2023-04-15T18:23:20.390000Z,2023-04-15T18:53:31.226000Z,2023-04-17T15:55:28.789000,2023-04-15T18:53:31.594620Z,1811,C12OLERP,1012,Texas (TX),English,43,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
643af77d81cb58c0677973b0,612e64b26c1ed4e6cc77686a,APPROVED,2023-04-15T19:14:09.090000Z,2023-04-15T19:31:35.669000Z,2023-04-17T15:55:29.031000,2023-04-15T19:31:36.095676Z,1047,C12OLERP,739,Texas (TX),"English, Spanish",31,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
