"userid","flag_nomatch_survey","flag_no_survey","Progress","Duration__in_seconds_","Status_prolific"
"5fc1ffc15478a5319b85ecd2",TRUE,FALSE,64,3898,"TIMEDOUT"
"5b7c877f9dc643000172043d",TRUE,FALSE,64,768,"TIMEDOUT"
"5e0d256753e8464d64940925",TRUE,FALSE,84,1505,"TIMEDOUT"
"62e073721cd1f5f6cff50910",TRUE,FALSE,64,759,"TIMEDOUT"
"5a6f57166923df0001ef8d02",TRUE,FALSE,85,885,"TIMEDOUT"
"5f0a768d79e052185602759b",TRUE,FALSE,64,1846,"TIMEDOUT"
"5e03e20e4cac68ec33187d80",TRUE,FALSE,64,673,"TIMEDOUT"
"5eb4442bcaffba2864f4c554",TRUE,FALSE,85,515,"TIMEDOUT"
"636159dccb8ebae6099ab520",TRUE,FALSE,64,268,"TIMEDOUT"
"637656f618065b68614915b0",TRUE,FALSE,26,311,"TIMEDOUT"
"57223b1c01ed330011374d93",TRUE,FALSE,64,426,"TIMEDOUT"
"62c79dafb9222348d5e5a90c",TRUE,FALSE,56,743,"TIMEDOUT"
"62c71e41af2bc57590b548e8",TRUE,FALSE,64,1170,"TIMEDOUT"
"5a9a6f5f35237b000112920f",TRUE,FALSE,64,734,"TIMEDOUT"
"5dd9923922749791b319fc19",TRUE,FALSE,64,1631,"TIMEDOUT"
"5ecb0bb39b4189656f60872b",TRUE,FALSE,56,613,"TIMEDOUT"
"62bddb63d7c84ff6e9c592f5",TRUE,FALSE,64,419,"TIMEDOUT"
"610729d5507a50dd1db1246f",TRUE,FALSE,91,1705,"TIMEDOUT"
"636ac3f10d9f3b6a0eb54eeb",TRUE,FALSE,64,2778,"TIMEDOUT"
"5d161a732982a300158d84cc",TRUE,FALSE,87,1629,"TIMEDOUT"
"638e39edc03272bc8071cbb6",TRUE,FALSE,85,1117,"TIMEDOUT"
"5e8f947688dac428c6b35e29",TRUE,FALSE,84,840,"TIMEDOUT"
"61313fad6454dab291dc1256",TRUE,FALSE,14,365,"TIMEDOUT"
"6108688a0dab4b6622af82e9",TRUE,FALSE,64,607,"TIMEDOUT"
"562c2ff0733ea000111630df",TRUE,FALSE,64,2632,"TIMEDOUT"
"60baa2667ff218389ffd3da5",TRUE,FALSE,64,990,"TIMEDOUT"
"61118b59c27e0581f7112c3d",TRUE,FALSE,26,246,"TIMEDOUT"
"5d68c88914867f000139f627",TRUE,FALSE,85,4147,"TIMEDOUT"
"5ee8f9a309471c0d46a6d247",TRUE,FALSE,64,9254,"TIMEDOUT"
"614de785b8b89e4aba599f03",TRUE,FALSE,26,539,"TIMEDOUT"
"637d58b9dd14dc68ba68920a",TRUE,FALSE,39,7376,"TIMEDOUT"
"5fe0d610dd8cf1a331961cbe",TRUE,FALSE,26,1261,"TIMEDOUT"
"5dcbff95f9d4a08915f9334c",TRUE,FALSE,84,1227,"TIMEDOUT"
"609f9dc860caabc631c56e9c",TRUE,FALSE,87,1051,"TIMEDOUT"
"5fea4e9eb11116a165b0834a",TRUE,FALSE,26,402,"TIMEDOUT"
"6108716bd7e84ed9917914ac",TRUE,FALSE,84,762,"TIMEDOUT"
"60a3128cb035414bb4588090",TRUE,FALSE,87,3942,"TIMEDOUT"
"5e287f8ebdfcaf050e34fd94",TRUE,FALSE,26,368,"TIMEDOUT"
"60f0ae9c7798b3360564605a",TRUE,FALSE,26,139,"TIMEDOUT"
"62f41a3f40490ce7273873ec",TRUE,FALSE,64,728,"TIMEDOUT"
"5aa117356475f90001a02fd6",TRUE,FALSE,87,2974,"TIMEDOUT"
"5ad1dee393f87d00016ce40f",TRUE,FALSE,89,27666,"TIMEDOUT"
"5ef98087540ce971a8fb4280",TRUE,FALSE,84,825,"TIMEDOUT"
"629e4d79be0e1ecd4ce30ab4",TRUE,FALSE,84,1180,"TIMEDOUT"
"5765b92cf96b100001f64c9a",TRUE,FALSE,89,1225,"TIMEDOUT"
"55ea8b027480920010aa99f0",TRUE,FALSE,64,354,"TIMEDOUT"
"5d4254db5b2c430001418a3c",TRUE,FALSE,64,611,"TIMEDOUT"
"606b09b31d8eeeb1dc5a8fd3",TRUE,FALSE,85,2518,"TIMEDOUT"
"62fb84322433c8d7e890a145",TRUE,FALSE,64,684,"TIMEDOUT"
"61fa947a5719bc09cb834f5b",TRUE,FALSE,14,140,"TIMEDOUT"
"5d7047d764b37b0017ffa710",TRUE,FALSE,64,4213,"TIMEDOUT"
"6004fb013a8d786ca7d9afc3",TRUE,FALSE,85,4235,"TIMEDOUT"
"6105619fd55674bb2c2f0f74",TRUE,FALSE,64,1764,"TIMEDOUT"
"62e99c5ba3484be10c322440",TRUE,FALSE,64,571,"TIMEDOUT"
"5db598f48cf15c000b57eb36",TRUE,FALSE,64,354,"TIMEDOUT"
"6155e95c0808b015514b34e0",TRUE,FALSE,26,240,"TIMEDOUT"
"5d88f2f8cefb52001a83f1b2",TRUE,FALSE,64,515,"TIMEDOUT"
