"var_name","scale_prefix","item_suffix","var_class","item_type","ori_name"
"resourcehelp_03","resourcehelp","03","factor","content_rec_raw","ResourceHelp_3"
"resourcehelp_04","resourcehelp","04","factor","content_rec_raw","ResourceHelp_4"
"resourcehelp_05","resourcehelp","05","factor","content_rec_raw","ResourceHelp_5"
"resourcehelp_07","resourcehelp","07","factor","content_rec_raw","ResourceHelp_7"
"resourcehelp_08","resourcehelp","08","factor","content_rec_raw","ResourceHelp_8"
"resourcehelp_09","resourcehelp","09","factor","content_rec_raw","ResourceHelp_9"
"resourcehelp_09_text","resourcehelp","09_text","character","content_rec","ResourceHelp_9_TEXT"
"contenthelp_01","contenthelp","01","factor","content_rec_raw","ContentHelp_1"
"contenthelp_02","contenthelp","02","factor","content_rec_raw","ContentHelp_2"
"contenthelp_03","contenthelp","03","factor","content_rec_raw","ContentHelp_3"
"contenthelp_04","contenthelp","04","factor","content_rec_raw","ContentHelp_4"
"contenthelp_05","contenthelp","05","factor","content_rec_raw","ContentHelp_5"
"contenthelp_06","contenthelp","06","factor","content_rec_raw","ContentHelp_6"
"contenthelp_07","contenthelp","07","factor","content_rec_raw","ContentHelp_7"
"contenthelp_08","contenthelp","08","factor","content_rec_raw","ContentHelp_8"
"contenthelp_09","contenthelp","09","factor","content_rec_raw","ContentHelp_9"
"contenthelp_10","contenthelp","10","factor","content_rec_raw","ContentHelp_10"
"contenthelp_11","contenthelp","11","factor","content_rec_raw","ContentHelp_11"
"contenthelp_12","contenthelp","12","factor","content_rec_raw","ContentHelp_12"
"contenthelp_12_text","contenthelp","12_text","character","content_rec","ContentHelp_12_TEXT"
"languishing_01","languishing","01","factor","value_prop_raw","Languishing_1"
"languishing_02","languishing","02","factor","value_prop_raw","Languishing_2"
"languishing_03","languishing","03","factor","value_prop_raw","Languishing_3"
"languishing_04","languishing","04","factor","value_prop_raw","Languishing_4"
"languishing_05","languishing","05","factor","value_prop_raw","Languishing_5"
"languishing_06","languishing","06","factor","value_prop_raw","Languishing_6"
"languishing_07","languishing","07","factor","value_prop_raw","Languishing_7"
"languishing_08","languishing","08","factor","value_prop_raw","Languishing_8"
"languishing_09","languishing","09","factor","value_prop_raw","Languishing_9"
"languishing_10","languishing","10","factor","value_prop_raw","Languishing_10"
"document_tools_01","document","tools_01","factor","value_prop_raw","Document_Tools_1"
"document_tools_02","document","tools_02","factor","value_prop_raw","Document_Tools_2"
"document_tools_03","document","tools_03","factor","value_prop_raw","Document_Tools_3"
"document_tools_04","document","tools_04","factor","value_prop_raw","Document_Tools_4"
"document_tools_05","document","tools_05","factor","value_prop_raw","Document_Tools_5"
"document_tools_06","document","tools_06","factor","value_prop_raw","Document_Tools_6"
"document_tools_07","document","tools_07","factor","value_prop_raw","Document_Tools_7"
"document_tools_06_text","document","tools_06_text","character","value_prop","Document_Tools_6_TEXT"
"document_freq","document","freq","factor","value_prop","Document_Freq"
"document_benefits_01","document","benefits_01","factor","value_prop_raw","Document_Benefits_1"
"document_benefits_02","document","benefits_02","factor","value_prop_raw","Document_Benefits_2"
"document_benefits_03","document","benefits_03","factor","value_prop_raw","Document_Benefits_3"
"document_benefits_04","document","benefits_04","factor","value_prop_raw","Document_Benefits_4"
"document_benefits_05","document","benefits_05","factor","value_prop_raw","Document_Benefits_5"
"document_benefits_06","document","benefits_06","factor","value_prop_raw","Document_Benefits_6"
"document_benefits_07","document","benefits_07","factor","value_prop_raw","Document_Benefits_7"
"document_benefits_08","document","benefits_08","factor","value_prop_raw","Document_Benefits_8"
"document_benefits_09","document","benefits_09","factor","value_prop_raw","Document_Benefits_9"
"document_benefits_10","document","benefits_10","factor","value_prop_raw","Document_Benefits_10"
"document_benefits_11","document","benefits_11","factor","value_prop_raw","Document_Benefits_11"
"document_benefits_11_text","document","benefits_11_text","character","value_prop","Document_Benefits_11_TEXT"
"storyinterest","storyinterest",NA,"integer","value_prop","StoryInterest"
"storyinterest_desc","storyinterest","desc","character","value_prop","StoryInterest_Desc"
"content_recruit","content","recruit","factor","recruit","content_recruit"
"outro","outro",NA,"character","feedback","Outro"
"survey_name","survey","name","character","metadata","survey_name"
"submission_id_prolific","submission","id_prolific","character","prolific_metadata","Submission.id_prolific"
"status_prolific","status","prolific","factor","prolific_metadata","Status_prolific"
"started_at_prolific","started","at_prolific","character","prolific_metadata","Started.at_prolific"
"completed_at_prolific","completed","at_prolific","character","prolific_metadata","Completed.at_prolific"
