"var_name","scale_prefix","item_suffix","var_class","item_type","ori_name"
"ab_02_09","ab","02_09","factor","assets_barriers_raw","AB_2_9"
"ab_03_01","ab","03_01","factor","assets_barriers_raw","AB_3_1"
"ab_03_02","ab","03_02","factor","assets_barriers_raw","AB_3_2"
"ab_03_03","ab","03_03","factor","assets_barriers_raw","AB_3_3"
"ab_03_04","ab","03_04","factor","assets_barriers_raw","AB_3_4"
"ab_03_05","ab","03_05","factor","assets_barriers_raw","AB_3_5"
"ab_03_06","ab","03_06","factor","assets_barriers_raw","AB_3_6"
"ab_03_07","ab","03_07","factor","assets_barriers_raw","AB_3_7"
"ab_03_08","ab","03_08","factor","assets_barriers_raw","AB_3_8"
"ab_03_09","ab","03_09","factor","assets_barriers_raw","AB_3_9"
"ab_03_10","ab","03_10","factor","assets_barriers_raw","AB_3_10"
"ab_03_11","ab","03_11","factor","assets_barriers_raw","AB_3_11"
"ab_03_12","ab","03_12","factor","assets_barriers_raw","AB_3_12"
"ab_03_13","ab","03_13","factor","assets_barriers_raw","AB_3_13"
"ab_03_14","ab","03_14","factor","assets_barriers_raw","AB_3_14"
"ab_03_15","ab","03_15","factor","assets_barriers_raw","AB_3_15"
"ab_03_16","ab","03_16","factor","assets_barriers_raw","AB_3_16"
"ab_03_17","ab","03_17","factor","assets_barriers_raw","AB_3_17"
"ab_03_18","ab","03_18","factor","assets_barriers_raw","AB_3_18"
"ab_03_19","ab","03_19","factor","assets_barriers_raw","AB_3_19"
"ab_03_20","ab","03_20","factor","assets_barriers_raw","AB_3_20"
"ab_03_21","ab","03_21","factor","assets_barriers_raw","AB_3_21"
"ab_03_22","ab","03_22","factor","assets_barriers_raw","AB_3_22"
"ab_03_23","ab","03_23","factor","assets_barriers_raw","AB_3_23"
"ab_03_23_text","ab","03_23_text","character","assets_barriers_raw","AB_3_23_TEXT"
"ab_33_01","ab","33_01","factor","assets_barriers_raw","AB33_1"
"ab_33_02","ab","33_02","factor","assets_barriers_raw","AB33_2"
"ab_33_03","ab","33_03","factor","assets_barriers_raw","AB33_3"
"ab_33_04","ab","33_04","factor","assets_barriers_raw","AB33_4"
"ab_33_05","ab","33_05","factor","assets_barriers_raw","AB33_5"
"ab_33_06","ab","33_06","factor","assets_barriers_raw","AB33_6"
"ab_33_07","ab","33_07","factor","assets_barriers_raw","AB33_7"
"ab_33_08","ab","33_08","factor","assets_barriers_raw","AB33_8"
"ab_33_09","ab","33_09","factor","assets_barriers_raw","AB33_9"
"ab_33_10","ab","33_10","factor","assets_barriers_raw","AB33_10"
"ab_33_11","ab","33_11","factor","assets_barriers_raw","AB33_11"
