"userid","flag_nomatch_survey","flag_no_survey","Progress","Duration__in_seconds_","Status_prolific"
"63d45bf9e192b84c4cfdf0ba",TRUE,FALSE,26,151,"TIMEDOUT"
"628d114b1acd87ea1b37874e",TRUE,FALSE,26,270,"TIMEDOUT"
"62fd0bc538d70b87550691f7",TRUE,FALSE,26,597,"TIMEDOUT"
"59944b4b5f49420001cafa10",TRUE,FALSE,70,586,"TIMEDOUT"
"57527f5f0811ad0006f37c29",TRUE,FALSE,26,208,"TIMEDOUT"
"63e53dc0bb780ac38cdcf77e",TRUE,FALSE,53,1252,"TIMEDOUT"
"612ba4bfee20a1ffc86116f9",TRUE,FALSE,40,7144,"TIMEDOUT"
"61438982b4488a53bfb70f02",TRUE,FALSE,33,442,"TIMEDOUT"
"5931ae834ecc2d0001e7e1b6",TRUE,FALSE,33,608,"TIMEDOUT"
"63619eb02e5bd8f4f7bd138a",TRUE,FALSE,26,462,"TIMEDOUT"
"610b19a0b61f5f510285b82b",TRUE,FALSE,33,448,"TIMEDOUT"
"60c7848a39b4e7ecc85259be",TRUE,FALSE,60,2701,"TIMEDOUT"
"636154c9faf44aa44a14d155",TRUE,FALSE,36,1039,"TIMEDOUT"
"610a30b7a800f225aa297939",TRUE,FALSE,47,769,"TIMEDOUT"
"6237f1aa5714eb95fcf2a54d",TRUE,FALSE,71,20515,"TIMEDOUT"
"63d7e87ee7333b219a553295",TRUE,FALSE,33,1344,"TIMEDOUT"
"60ff62db7d4eb4134c284f03",TRUE,FALSE,38,858,"TIMEDOUT"
"5bf08e67d63d690001360a79",TRUE,FALSE,26,301,"TIMEDOUT"
