Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63a3acd1907af334660b8d2a,5f9115299908a021dfcf4fae,APPROVED,2022-12-22T01:03:17.052000Z,2022-12-22T01:36:33.679000Z,2022-12-22T05:48:39.481000,2022-12-22T01:36:36.051175Z,1997,CEIIGKEB,1003,English,42,Female,White,United States,United States,United States,English,No,Part-Time
63a3aced3510eb994e183c12,62bd42b72c2ccddf753b655b,APPROVED,2022-12-22T01:03:46.365000Z,2022-12-22T02:16:42.836000Z,2022-12-22T05:48:39.580000,2022-12-22T02:16:43.286623Z,4377,CEIIGKEB,508,English,59,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63a3adc8fb4df465a89caecb,60ad566e5703a186a1c9f76c,APPROVED,2022-12-22T01:07:23.536000Z,2022-12-22T01:36:11.983000Z,2022-12-22T05:48:39.677000,2022-12-22T01:36:12.381054Z,1729,CEIIGKEB,587,English,25,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
63a3ade3699c4a4c88b59864,5c3ebb97b3369c0001a94fea,APPROVED,2022-12-22T01:07:49.732000Z,2022-12-22T01:24:26.854000Z,2022-12-22T05:48:39.773000,2022-12-22T01:24:27.208674Z,998,CEIIGKEB,2616,English,37,Female,White,United States,United States,United States,English,No,Full-Time
63a3ae162e016030d839f667,5df490aa6e4db6337452be8b,APPROVED,2022-12-22T01:08:38.458000Z,2022-12-22T01:29:33.225000Z,2022-12-22T05:48:39.868000,2022-12-22T01:29:33.616241Z,1255,CEIIGKEB,599,English,40,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
63a3ae2d796d3963b29062e8,5ee6349943bdaa39363f9439,RETURNED,2022-12-22T01:09:05.525000Z,2022-12-22T01:10:18.774000Z,,2022-12-22T01:10:19.162000Z,,CEIIGKEB,1452,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
63a3ae4d6631959bc7e593ef,608c75be6bf5ca1f23ab35ad,APPROVED,2022-12-22T01:09:35.232000Z,2022-12-22T01:40:19.584000Z,2022-12-22T05:48:39.965000,2022-12-22T01:40:19.896632Z,1845,CEIIGKEB,924,English,22,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
63a3afe0f7c9138e39b5988c,5cf5134c8f8ff80019e76721,APPROVED,2022-12-22T01:16:16.565000Z,2022-12-22T01:37:15.159000Z,2022-12-22T05:48:40.064000,2022-12-22T01:37:15.562682Z,1259,CEIIGKEB,3545,English,49,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63a3b0b56101efefc6b85721,62fb59166b94e6240417f7c7,APPROVED,2022-12-22T01:19:57.062000Z,2022-12-22T02:37:15.004000Z,2022-12-22T06:07:06.711000,2022-12-22T02:37:15.451152Z,4638,CEIIGKEB,432,English,58,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63a3b0dba629eaf0021e281b,5fb7dd473afbb1033b491811,APPROVED,2022-12-22T01:20:33.722000Z,2022-12-22T02:02:59.978000Z,2022-12-22T05:48:40.161000,2022-12-22T02:03:00.387907Z,2547,CEIIGKEB,1684,English,45,Male,White,United States,United States,United States,English,No,Full-Time
