userid,flag_nomatch_survey,flag_no_survey,Progress,Duration__in_seconds_,Status_prolific,,anne_check
5aaf4b0ce1546900019b01de,TRUE,FALSE,64,1371,TIMEDOUT,,RETURNED
5c510d1310223b00012fa23e,TRUE,FALSE,39,1329,TIMEDOUT,,RETURNED
637e86cb29243d7880acd64d,TRUE,FALSE,85,1294,TIMEDOUT,,RETURNED
5fe0d610dd8cf1a331961cbe,TRUE,FALSE,26,1261,TIMEDOUT,,RETURNED
63026053812fe400f2929701,TRUE,FALSE,64,1256,TIMEDOUT,,RETURNED
5dcbff95f9d4a08915f9334c,TRUE,FALSE,84,1227,TIMEDOUT,,RETURNED
5765b92cf96b100001f64c9a,TRUE,FALSE,89,1225,TIMEDOUT,,RETURNED
6095fc75ab1d101e060d808b,TRUE,FALSE,57,1196,TIMEDOUT,,RETURNED
5cba1809102bd400130c19e7,TRUE,FALSE,64,1194,TIMEDOUT,,RETURNED
5df4ed2eae7b303760a9d47c,TRUE,FALSE,84,1188,TIMEDOUT,,RETURNED
629e4d79be0e1ecd4ce30ab4,TRUE,FALSE,84,1180,TIMEDOUT,,RETURNED
62711f73b2dbf1f1867a703c,TRUE,FALSE,64,1176,TIMEDOUT,,RETURNED
6297d37d1444384207523262,TRUE,FALSE,26,1173,TIMEDOUT,,RETURNED
62c71e41af2bc57590b548e8,TRUE,FALSE,64,1170,TIMEDOUT,,RETURNED
60f592f40e80188d5bc991e8,TRUE,FALSE,12,1149,TIMEDOUT,,RETURNED
5bf53836ec7b5f000159f4b3,TRUE,FALSE,87,1131,TIMEDOUT,,RETURNED
62753ba6947edadb945d0121,TRUE,FALSE,89,1118,TIMEDOUT,,RETURNED
638e39edc03272bc8071cbb6,TRUE,FALSE,85,1117,TIMEDOUT,,RETURNED
6266e63b82fa38e800e33a24,TRUE,FALSE,57,1093,TIMEDOUT,,RETURNED
63619eb02e5bd8f4f7bd138a,TRUE,FALSE,64,1055,TIMEDOUT,,RETURNED
5d453e8723a5bb0001492546,TRUE,FALSE,64,1044,TIMEDOUT,,RETURNED
616c056b42e788ef31efc4b0,TRUE,FALSE,64,1003,TIMEDOUT,,RETURNED
5fefefa4c9707d3516361c9c,TRUE,FALSE,64,996,TIMEDOUT,,RETURNED
5b53e95f4bbe600001465c18,TRUE,FALSE,64,950,TIMEDOUT,,RETURNED
5588ee6ffdf99b304dd48297,TRUE,FALSE,84,932,TIMEDOUT,,RETURNED
614ea93d581d6f4281e9d232,TRUE,FALSE,64,926,TIMEDOUT,,RETURNED
61009432c7f5da94ea66e805,TRUE,FALSE,39,911,TIMEDOUT,,RETURNED
62d5db8e2d079e00489d8c76,TRUE,FALSE,85,900,TIMEDOUT,,RETURNED
5c60a763dff4b30001aa98ee,TRUE,FALSE,64,897,TIMEDOUT,,RETURNED
5de985cf1be52f0a75357332,TRUE,FALSE,84,885,TIMEDOUT,,RETURNED
5a6f57166923df0001ef8d02,TRUE,FALSE,85,885,TIMEDOUT,,RETURNED
5e667f3bc3f30a4050fc8f2f,TRUE,FALSE,84,869,TIMEDOUT,,RETURNED
628e3768a418a3b5d079e097,TRUE,FALSE,84,867,TIMEDOUT,,RETURNED
60ff2f1eeab3a0334dee26d8,TRUE,FALSE,64,848,TIMEDOUT,,RETURNED
5d615f7632cfbd001b1b6dcb,TRUE,FALSE,86,847,TIMEDOUT,,RETURNED
62e42aaad0079d2ff8e97597,TRUE,FALSE,64,847,TIMEDOUT,,RETURNED
6361485f35ad17dc5e451202,TRUE,FALSE,87,828,TIMEDOUT,,RETURNED
5d88f010859c9e0001810e88,TRUE,FALSE,64,826,TIMEDOUT,,RETURNED
5ef98087540ce971a8fb4280,TRUE,FALSE,84,825,TIMEDOUT,,RETURNED
5cc9e61b7f76370017cfd5c7,TRUE,FALSE,64,825,TIMEDOUT,,RETURNED
55aeacebfdf99b5dac7fa5bb,TRUE,FALSE,64,822,TIMEDOUT,,RETURNED
594c1e5a9160cb00011d6474,TRUE,FALSE,64,817,TIMEDOUT,,RETURNED
5e795b321feceb5164cd115d,TRUE,FALSE,64,814,TIMEDOUT,,RETURNED
5f69ca3d8c30bb0008f456b5,TRUE,FALSE,64,808,TIMEDOUT,,RETURNED
611d85eed6ae2432c258f0aa,TRUE,FALSE,64,805,TIMEDOUT,,RETURNED
6296849bbd45e6accf130f07,TRUE,FALSE,64,800,TIMEDOUT,,RETURNED
5e9f397c9286a70c1279d0b4,TRUE,FALSE,64,797,TIMEDOUT,,RETURNED
6168d307d622b1f522956be7,TRUE,FALSE,64,776,TIMEDOUT,,RETURNED
5ac5207ee1546900019c0279,TRUE,FALSE,84,772,TIMEDOUT,,RETURNED
5b7c877f9dc643000172043d,TRUE,FALSE,64,768,TIMEDOUT,,RETURNED
6108716bd7e84ed9917914ac,TRUE,FALSE,84,762,TIMEDOUT,,RETURNED
62e073721cd1f5f6cff50910,TRUE,FALSE,64,759,TIMEDOUT,,RETURNED
62c79dafb9222348d5e5a90c,TRUE,FALSE,56,743,TIMEDOUT,,RETURNED
5cc8f511f24f6c001c1692a9,TRUE,FALSE,64,741,TIMEDOUT,,RETURNED
6324f8ef8e2efea43c5d06e6,TRUE,FALSE,85,736,TIMEDOUT,,RETURNED
5a9a6f5f35237b000112920f,TRUE,FALSE,64,734,TIMEDOUT,,RETURNED
62989737409d018c733483c1,TRUE,FALSE,84,729,TIMEDOUT,,RETURNED
62f41a3f40490ce7273873ec,TRUE,FALSE,64,728,TIMEDOUT,,RETURNED
5f852dee17ab6c2136ac62e4,TRUE,FALSE,86,700,TIMEDOUT,,RETURNED
582c83a0bbb67e0001e49ec1,TRUE,FALSE,64,689,TIMEDOUT,,RETURNED
62fb84322433c8d7e890a145,TRUE,FALSE,64,684,TIMEDOUT,,RETURNED
61539b3fa541b182c0fadde1,TRUE,FALSE,64,675,TIMEDOUT,,RETURNED
5e03e20e4cac68ec33187d80,TRUE,FALSE,64,673,TIMEDOUT,,RETURNED
62dbde242c8f6f61e1d984c3,TRUE,FALSE,85,664,TIMEDOUT,,RETURNED
5fc1e71eff237c1f8708ef5a,TRUE,FALSE,14,660,TIMEDOUT,,RETURNED
638a063fb638db20ce2856f8,TRUE,FALSE,64,655,TIMEDOUT,,RETURNED
59b1c1462a78fd00010b83c4,TRUE,FALSE,84,648,TIMEDOUT,,RETURNED
636578c6aa1228f8b15ee701,TRUE,FALSE,84,639,TIMEDOUT,,RETURNED
5dd4074feab0423daf012f92,TRUE,FALSE,85,631,TIMEDOUT,,RETURNED
5ee09c1a0c2ad1027f541f53,TRUE,FALSE,64,622,TIMEDOUT,,RETURNED
5c4b253d3b58fc000127595f,TRUE,FALSE,89,620,TIMEDOUT,,RETURNED
5ecb0bb39b4189656f60872b,TRUE,FALSE,56,613,TIMEDOUT,,RETURNED
5d4254db5b2c430001418a3c,TRUE,FALSE,64,611,TIMEDOUT,,RETURNED
62d2aee15e1dc6709bdcace0,TRUE,FALSE,64,610,TIMEDOUT,,RETURNED
564d1fedb48dec0005b5191d,TRUE,FALSE,64,609,TIMEDOUT,,RETURNED
628d114b1acd87ea1b37874e,TRUE,FALSE,14,608,TIMEDOUT,,RETURNED
6108688a0dab4b6622af82e9,TRUE,FALSE,64,607,TIMEDOUT,,RETURNED
60f39f67a5c2c9e50ce470ee,TRUE,FALSE,64,601,TIMEDOUT,,RETURNED
6307a5e6e8a35c5eaeddb421,TRUE,FALSE,64,599,TIMEDOUT,,RETURNED
5b182365316c630001abff4f,TRUE,FALSE,64,592,TIMEDOUT,,RETURNED
62e99c5ba3484be10c322440,TRUE,FALSE,64,571,TIMEDOUT,,RETURNED
6294584c8601739c2c920cf6,TRUE,FALSE,92,569,TIMEDOUT,,RETURNED
614e7ef6e98951c5af6fd9f7,TRUE,FALSE,64,569,TIMEDOUT,,RETURNED
5aadbe52811b2000016f7633,TRUE,FALSE,85,561,TIMEDOUT,,RETURNED
6107fa726514f5f5a3491556,TRUE,FALSE,64,556,TIMEDOUT,,RETURNED
614fa2d8176b0317b451cd0f,TRUE,FALSE,84,546,TIMEDOUT,,RETURNED
60b8e0ed0524f574caac62ce,TRUE,FALSE,56,544,TIMEDOUT,,RETURNED
5eb4442bcaffba2864f4c554,TRUE,FALSE,85,515,TIMEDOUT,,RETURNED
5d88f2f8cefb52001a83f1b2,TRUE,FALSE,64,515,TIMEDOUT,,RETURNED
5d730a3cf37bfe0001ff031a,TRUE,FALSE,64,473,TIMEDOUT,,RETURNED
56ec9fa4f9ffc4000ac1941b,TRUE,FALSE,26,467,TIMEDOUT,,RETURNED
5bf08e67d63d690001360a79,TRUE,FALSE,64,462,TIMEDOUT,,RETURNED
5be42f3b98f5f40001a994f4,TRUE,FALSE,64,442,TIMEDOUT,,RETURNED
636148217a1f9023ebbd13a0,TRUE,FALSE,64,429,TIMEDOUT,,RETURNED
61719bfec06e3136189edb55,TRUE,FALSE,64,426,TIMEDOUT,,RETURNED
57223b1c01ed330011374d93,TRUE,FALSE,64,426,TIMEDOUT,,RETURNED
5e13ad514c81b2a01ae4aa9f,TRUE,FALSE,64,425,TIMEDOUT,,RETURNED
5798e5674a84da00014c652b,TRUE,FALSE,64,425,TIMEDOUT,,RETURNED
5d193535601cd70017727028,TRUE,FALSE,64,421,TIMEDOUT,,RETURNED
62bddb63d7c84ff6e9c592f5,TRUE,FALSE,64,419,TIMEDOUT,,RETURNED
5feb65120b1a44738e27ae4f,TRUE,FALSE,64,415,TIMEDOUT,,RETURNED
63197f9b80d9c0d22597a837,TRUE,FALSE,64,409,TIMEDOUT,,RETURNED
